replication_schema_version,seed_derivation_version,master_seed,replicate_index,replicate_id,simulation_seed,requested_llm_seed,llm_seed_supported,matrix_version,metrics_schema_version,condition_count,control_exp_id,execution_order,cache_scope,profile_seed,network_seed,target_seed,python_hash_seed,provider_model,provider_system_fingerprint
1.0,sha256-v1,2026080801,1,R001,4152396601,209403496,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,4152396601,4152396601,4152396601,988572391,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,2,R002,4277296790,2995442869,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,4277296790,4277296790,4277296790,3802710730,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,3,R003,949455849,1596227620,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,949455849,949455849,949455849,2181996398,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,4,R004,1275672839,1512170232,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,1275672839,1275672839,1275672839,3962090448,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,5,R005,345574425,1221617005,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,345574425,345574425,345574425,981218250,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,6,R006,364013411,965939285,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,364013411,364013411,364013411,5119285,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,7,R007,3160450319,3382225388,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,3160450319,3160450319,3160450319,529456291,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,8,R008,4242423123,1860320271,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,4242423123,4242423123,4242423123,2081865797,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,9,R009,1601122042,4089720559,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,1601122042,1601122042,1601122042,365629220,OpenAIProvider:qwen-plus,unavailable-prelaunch
1.0,sha256-v1,2026080801,10,R010,2911437073,3628245401,unknown,3.0,4.0,9,NoClarification-Control,"[""NoClarification-Control"",""Empathy-Hub-Delayed"",""Empathy-Hub-Immediate"",""Empathy-Random-Delayed"",""Empathy-Random-Immediate"",""Rational-Hub-Delayed"",""Rational-Hub-Immediate"",""Rational-Random-Delayed"",""Rational-Random-Immediate""]",replicate-block-only,2911437073,2911437073,2911437073,1076983168,OpenAIProvider:qwen-plus,unavailable-prelaunch
