exp_id,content_factor,channel_factor,timing_factor,clarification_tick,agent_id,out_degree,ticks_after_clarification,longest_zero_quiet_run_after,all_post_clarification_quiet_ticks_zero,repeated_clarification_reason_days,max_quiet_ticks_after
Rational-Hub-Imm,rational-evidence,hub,immediate,6,Consumer_000,13,24,24,True,24,0
Rational-Hub-Imm,rational-evidence,hub,immediate,6,Consumer_004,10,24,24,True,24,0
Rational-Hub-Imm,rational-evidence,hub,immediate,6,Consumer_001,6,24,6,False,6,18
Rational-Hub-D3,rational-evidence,hub,delay-3,10,Consumer_000,13,20,20,True,20,0
Rational-Hub-D3,rational-evidence,hub,delay-3,10,Consumer_004,10,20,20,True,20,0
Rational-Hub-D3,rational-evidence,hub,delay-3,10,Consumer_001,6,20,0,False,0,20
Rational-Random-Imm,rational-evidence,random,immediate,6,Consumer_000,13,24,24,True,24,0
Rational-Random-Imm,rational-evidence,random,immediate,6,Consumer_017,0,24,9,False,9,15
Rational-Random-Imm,rational-evidence,random,immediate,6,Consumer_002,1,24,0,False,0,24
Rational-Random-D3,rational-evidence,random,delay-3,10,Consumer_000,13,20,20,True,20,0
Rational-Random-D3,rational-evidence,random,delay-3,10,Consumer_017,0,20,20,True,20,0
Rational-Random-D3,rational-evidence,random,delay-3,10,Consumer_002,1,20,2,False,2,18
Empathy-Hub-Imm,emotional-empathy,hub,immediate,6,Consumer_000,13,24,24,True,24,0
Empathy-Hub-Imm,emotional-empathy,hub,immediate,6,Consumer_004,10,24,24,True,24,0
Empathy-Hub-Imm,emotional-empathy,hub,immediate,6,Consumer_001,6,24,1,False,1,23
Empathy-Hub-D3,emotional-empathy,hub,delay-3,10,Consumer_000,13,20,20,True,20,0
Empathy-Hub-D3,emotional-empathy,hub,delay-3,10,Consumer_004,10,20,20,True,20,0
Empathy-Hub-D3,emotional-empathy,hub,delay-3,10,Consumer_001,6,20,0,False,0,20
Empathy-Random-Imm,emotional-empathy,random,immediate,6,Consumer_000,13,24,24,True,24,0
Empathy-Random-Imm,emotional-empathy,random,immediate,6,Consumer_017,0,24,19,False,19,5
Empathy-Random-Imm,emotional-empathy,random,immediate,6,Consumer_002,1,24,0,False,0,24
Empathy-Random-D3,emotional-empathy,random,delay-3,10,Consumer_000,13,20,20,True,20,0
Empathy-Random-D3,emotional-empathy,random,delay-3,10,Consumer_017,0,20,20,True,20,0
Empathy-Random-D3,emotional-empathy,random,delay-3,10,Consumer_002,1,20,5,False,5,15
