formal_block_id,P1_OVERALL_CLARIFICATION_POST_TRUST_V32,P2_CONTENT_POST_TRUST_V32,P3_TIMING_PRE_DELAY_TRUST_V32,P4_CHANNEL_REACH_V32,P5_OVERALL_CLARIFICATION_EXPECTED_REPEAT_CHOICE_V32
F001,0.27074049504541,-0.0746346667078867,0.3677398087708665,0.6,0.0143999726740767
F002,0.4635282268174654,0.0807773523481296,0.7620313201161224,0.2999999999999999,0.0278761175437417
F003,0.3487191370405851,0.0281120873396476,0.5618149214786712,0.45,0.0198579579182294
F004,0.2936931873115993,0.0556251176755706,0.4815798860425575,0.7,0.0154045936499841
F005,0.4338839024040304,0.076745597411385,0.6589965500964707,-0.05,0.0256488899456585
F006,0.4088777327283388,0.1442656477551827,0.6376091553056638,0.25,0.0203947128847895
F007,0.3236881295425924,0.1003918302772515,0.5268033710297191,0.2999999999999999,0.0159403601248728
F008,0.2866148622458322,0.0265051275542926,0.3771095171030092,0.5,0.0152363702192365
F009,0.3482741380487946,0.1492074218469969,0.6914348511005617,0.3999999999999999,0.0211770959175645
F010,0.3616750206827221,0.0854410786109722,0.6285101646816571,0.1999999999999999,0.0235959017464571
