Tick,AgentID,Type,TrustScore,Action,Thought_Hypocrisy
1,Consumer_000,Deep Green,5.0,none,False
1,Consumer_001,Deep Green,5.0,none,False
1,Consumer_002,Deep Green,5.0,none,False
1,Consumer_003,Deep Green,5.0,none,False
1,Consumer_004,Deep Green,5.0,none,False
1,Consumer_005,Deep Green,5.0,none,False
1,Consumer_006,Deep Green,5.0,none,False
1,Consumer_007,Deep Green,5.0,none,False
1,Consumer_008,Deep Green,5.0,none,False
1,Consumer_009,Deep Green,5.0,none,False
1,Consumer_010,Deep Green,5.0,none,False
1,Consumer_011,Deep Green,5.0,none,False
1,Consumer_012,Deep Green,5.0,none,False
1,Consumer_013,Deep Green,5.0,none,False
1,Consumer_014,Deep Green,5.0,none,False
1,Consumer_015,Deep Green,5.0,none,False
1,Consumer_016,Deep Green,5.0,none,False
1,Consumer_017,Deep Green,5.0,none,False
1,Consumer_018,Deep Green,5.0,none,False
1,Consumer_019,Deep Green,5.0,none,False
1,Consumer_020,Deep Green,5.0,none,False
1,Consumer_021,Deep Green,5.0,none,False
1,Consumer_022,Deep Green,5.0,none,False
1,Consumer_023,Deep Green,5.0,none,False
1,Consumer_024,Deep Green,5.0,none,False
1,Consumer_025,Deep Green,5.0,none,False
1,Consumer_026,Deep Green,5.0,none,False
1,Consumer_027,Deep Green,5.0,none,False
1,Consumer_028,Deep Green,5.0,none,False
1,Consumer_029,Deep Green,5.0,none,False
1,Consumer_030,Deep Green,5.0,none,False
1,Consumer_031,Deep Green,5.0,none,False
1,Consumer_032,Deep Green,5.0,none,False
1,Consumer_033,Deep Green,5.0,none,False
1,Consumer_034,Deep Green,5.0,none,False
1,Consumer_035,Deep Green,5.0,none,False
1,Consumer_036,Deep Green,5.0,none,False
1,Consumer_037,Deep Green,5.0,none,False
1,Consumer_038,Deep Green,5.0,none,False
1,Consumer_039,Deep Green,5.0,none,False
1,Consumer_040,Deep Green,5.0,none,False
1,Consumer_041,Deep Green,5.0,none,False
1,Consumer_042,Deep Green,5.0,none,False
1,Consumer_043,Deep Green,5.0,none,False
1,Consumer_044,Deep Green,5.0,none,False
1,Consumer_045,Deep Green,5.0,none,False
1,Consumer_046,Deep Green,5.0,none,False
1,Consumer_047,Deep Green,5.0,none,False
1,Consumer_048,Deep Green,5.0,none,False
1,Consumer_049,Deep Green,5.0,none,False
2,Consumer_000,Deep Green,5.5,none,False
2,Consumer_001,Deep Green,3.0,none,True
2,Consumer_002,Deep Green,5.5,none,False
2,Consumer_003,Deep Green,3.0,none,True
2,Consumer_004,Deep Green,3.0,none,True
2,Consumer_005,Deep Green,3.0,none,True
2,Consumer_006,Deep Green,3.0,none,True
2,Consumer_007,Deep Green,3.0,none,True
2,Consumer_008,Deep Green,5.5,none,False
2,Consumer_009,Deep Green,3.0,none,True
2,Consumer_010,Deep Green,3.0,none,True
2,Consumer_011,Deep Green,3.0,none,True
2,Consumer_012,Deep Green,3.0,none,True
